student_id,minutes_watched,certificates_issued
254098,30.75,1
272965,2342.55,8
254378,274.42,1
153765,1021.63,3
272865,846.07,2
150090,1499.27,2
270042,1368.35,1
262569,395.40,1
262585,1220.98,2
271348,890.82,3
264404,518.60,1
176531,656.23,5
275020,1193.27,6
262641,542.63,1
229699,388.65,3
149652,1176.87,5
16979,535.68,3
185851,2785.42,6
171900,3448.22,6
254914,1020.10,4
274209,1029.22,1
277066,833.42,2
161210,805.45,5
265653,181.82,1
264761,127.97,1
200231,906.87,1
30872,1001.97,1
196681,543.08,1
146149,938.25,3
263706,148.88,1
269054,778.33,2
263494,798.05,1
157698,778.37,2
275132,574.78,3
147687,3761.35,1
159548,569.87,3
219488,1399.17,5
268331,2237.55,1
267064,1787.35,6
266614,819.33,4
59568,176.57,1
144397,1242.37,13
235735,534.15,1
261756,1424.67,6
14700,1657.05,35
272504,335.05,1
255187,53.33,1
215160,388.98,2
260754,1256.03,5
268962,569.23,1
265003,1115.90,3
149195,2299.22,2
255282,657.80,2
274630,178.63,1
182880,492.43,1
274929,815.87,2
267885,443.63,1
274162,847.95,1
269020,125.78,1
182808,365.07,1
190394,89.30,1
268714,561.08,3
154092,1563.80,4
258636,687.77,3
260345,1387.15,3
161537,91.05,1
273423,5334.78,18
274564,1862.78,4
161496,688.05,1
273841,1047.52,1
278509,662.55,1
11353,1095.90,2
147956,2288.98,13
269671,465.35,2
265005,525.83,1
265130,118.85,1
181620,1199.13,1
225955,363.37,1
236361,456.70,1
236797,628.10,1
262412,687.73,2
236628,856.90,2
21615,0,1
225394,341.80,1
261819,37.43,1
261393,412.78,1
268764,1941.10,6
265250,1213.63,3
149323,172.97,1
268800,753.90,3
254813,601.65,2
257112,265.60,2
154291,371.37,1
276783,698.83,3
278326,271.53,1
278582,396.08,2
